F1,F2,F3,F4,F5,F6,F7,CLASS
0.404830157,0.477422119,0.339989906,0.494149406,0.0748467133888,0.129362854,0,1
0.462747961,0.465541734,0.387591613,0.47628222,0.0285159803985,0.145421911,0,0
0.388925482,0.476131832,0.399232494,0.537755196,0.0805777198959,0.0916789497518,0,0
0.326031885,0.485414698,0.362375342,0.53305216,0.0648710041942,0.131385594,0,1
0.333541554,0.497322004,0.252969698,0.528689092,0.069449056,0.191818455,0,1
0.331946708,0.48956617,0.298058608,0.51817247,0.0707426548382,0.161150305,0,0
0.68883563,0.501735776,0.113996436,0.232990791,0.256375275,0.130820101,0,0
0.325542678,0.482751836,0.478167891,0.503718768,0.00361130639747,0.223720982,0,0
0.323749987,0.504454528,0.264646182,0.651834959,0.0814678500592,0.180357748,0,1
0.410950157,0.444151678,0.612647526,0.488791727,0.0288844612544,0.281413726,0,1
0.318823257,0.506686073,0.273520845,0.698423317,0.087240916,0.176872374,0,0
0.39211458,0.54350989,0.19225515,0.843076124,0.113750214,0.207564304,0,1
0.470694208,0.561574732,0.128829543,0.910588946,0.116533902,0.22921933,0,0
0.302272128,0.512209678,0.305995965,0.804487269,0.107668222,0.176951971,0,1
0.435576729,0.534772331,0.267317847,0.981775022,0.155965072,0.194842959,0,0
0.102328536,0.498951145,0.413964434,0.685817962,0.084863487,0.318011286,0,0
0.448597041,0.482243101,0.272844249,0.338493668,0.0766234028984,0.183676015,0,1
0.421319415,0.464777581,0.571502696,0.525645185,0.0690338365641,0.261804097,1,1
0.418007561,0.544603052,0.137481781,0.747670566,0.0773827148807,0.254022056,0,1
0.410107458,0.470099597,0.484941527,0.5230314,0.189283983,0.887166197,1,1
0.0624381527021,0.500767602,0.38812216,0.65573639,0.0713509267091,0.72652987,0,0
0.4062927,0.4742929,0.458419893,0.513331162,0.175599912,0.867710687,1,0
0.126635019,0.498936809,0.405926577,0.522815478,0.175270473,0.936995294,0,0
0.0612608339429,0.501128191,0.415331229,0.702026576,0.0725028756137,0.584294524,0,1
0.126127008,0.504701683,0.360438112,0.785049265,0.058954217,0.579709633,0,0
0.0839261225753,0.501034548,0.381916428,0.556530605,0.153432486,0.769489119,0,0
0.240742492,0.48700886,0.503731261,0.51164759,0.071114551,0.4630891,0,1
0.264056976,0.491732515,0.377964573,0.607461473,0.0495421308467,0.176665701,0,0
0.431674426,0.471384195,0.370712738,0.525558163,0.0610741628724,0.127767848,0,0
0.0319059795756,0.40103969,0.88839087,0.258228918,0.137241137,0.162162519,0,0
0.05723409,0.406120215,0.772773606,0.228047941,0.2964875,0.268423526,1,1
0.0476952187064,0.399868417,0.860824591,0.0443593284418,0.286202669,0.257631385,1,1
0.0912619770968,0.458602395,0.663333839,0.392755435,0.341167625,0.691712582,1,0
0.0499479990208,0.425162327,0.732844753,0.161683593,0.404612575,0.212966792,0.8149,1
0.0684835858095,0.415064634,0.773615236,0.287867566,0.261861637,0.0350294789152,1,0
0.0532264855009,0.434356758,0.731994732,0.326636128,0.237736353,0.279164528,0.7372,1
0.0511416208043,0.401343388,0.793216433,0.186547257,0.303911021,0.273850243,1,1
0.0550981597553,0.404066698,0.790566583,0.209915332,0.302907304,0.278191195,1,1
0.0576263469087,0.427265879,0.730599305,0.316006709,0.249711182,0.127006954,0.6748,0
0.0449589534494,0.399970655,0.83011314,0.0221071729591,0.27956108,0.277694907,1,1
0.0834632428126,0.471125771,0.587045347,0.430020025,0.227849677,0,1,1
0.0406592729858,0.400026724,0.862531634,0.0340495058277,0.26454585,0.257064483,1,1
0.142351114,0.45773857,0.612976635,0.437332861,0.317119616,0.754014971,1,1
0.0510283482087,0.399251669,0.841459912,0.0659997552859,0.296110126,0.256281472,1,1
0.0632821227162,0.409946288,0.778677252,0.256937503,0.282579078,0.121743476,1,1
0.0671109587834,0.398640145,0.777080847,0.0175687974161,0.395031591,0.215188992,0.7764,0
0.0507097967335,0.400247881,0.862215467,0.0427072397076,0.294500415,0.250801329,0,0
0.0494659210299,0.427901386,0.727635419,0.142062358,0.420423281,0.214447235,0,1
0.131089555,0.436855458,0.728838488,0.385328427,0.255788179,0.425130906,0.7671,1
0.0852410171572,0.462120482,0.648829716,0.399431575,0.347502642,0.657432422,0.9251,0
0.0802877161757,0.427131264,0.742316394,0.336493452,0.208210591,0.0771513863121,0.8482,1
0.225411,0.433971744,0.719749117,0.476841028,0.0425669288359,0.462795568,1,1
0.0526317655583,0.418559005,0.739652302,0.0664108218573,0.417965174,0.183953628,0,1
0.0365993925307,0.475486638,0.552097581,0.154240691,0.476709573,0.655620315,0.8453,0
0.0527592143778,0.481754901,0.46408044,0.269484404,0.606692812,0.865414688,0.6685,0
0.107811197,0.424699764,0.705059955,0.352058811,0.214448982,0.0797178115346,0.7258,0
0.0502520727825,0.408592132,0.749631741,0.024522953,0.440878602,0.246471739,1,1
0.0510612235655,0.454123179,0.593364006,0.212169168,0.450546138,0.421075575,0,0
0.0606008556068,0.3999946,0.79830399,0.0152420452893,0.353397132,0.226574657,0.7263,1
0.0720717439349,0.422393894,0.735157737,0.0651108120568,0.426745807,0.204269385,1,1
0.0418697612518,0.4002062,0.837780737,0.0533083832791,0.299781381,0.249931905,1,1
0.064950004,0.419103649,0.733621736,0.309814381,0.250390437,0.0374120414888,1,1
0.124193999,0.441095906,0.710794977,0.38432955,0.284142112,0.472982135,1,1
0.110061699,0.451039307,0.664360978,0.388264997,0.338598751,0.589132976,0.7534,1
0.0612898757516,0.425770341,0.733181227,0.320027611,0.250138422,0.101840144,1,0
0.0542897711652,0.426573581,0.722488802,0.277197635,0.268026263,0.260660607,1,1
0.197060476,0.453843793,0.649522392,0.474125369,0.243925635,0.712320425,1,1
0.0558852696127,0.408860592,0.771972958,0.0552505846234,0.388773178,0.185084645,0,1
0.0785142739098,0.44021891,0.701968151,0.356004054,0.211754454,0.373754646,0.7928,0
0.0771693274724,0.40034207,0.85869383,0.133937454,0.0950777919564,0.212318612,0,0
0.0260649683041,0.411143865,0.895779026,0.0978279390821,0.123638733,0.195991368,0,0
0.110255647,0.474161008,0.50057126,0.480943523,0.27840709,0.926617249,1,1
0.0972147371427,0.471362526,0.551980255,0.449909357,0.272136191,0.873418848,1,1
0.0413434263876,0.400077818,0.863040693,0.0243953391208,0.265209573,0.274109458,1,1
0.187201663,0.463690719,0.55661363,0.497990706,0.260720718,0.826022064,1,1
0.4177972,0.467969468,0.577961572,0.522096542,0.139725201,0.643990787,1,1
0.0399936843452,0.400508817,0.849581228,0.0173805211609,0.27999289,0.268268568,0,0
0.0405774428243,0.401269657,0.859229025,0.0128295355698,0.280478536,0.264504413,0.8132,0
0.0735743282421,0.401948711,0.865041415,0.003163301,0.346885574,0.221736725,0,0
0.414863495,0.471526044,0.514478369,0.515570584,0.167130139,0.823356533,0.8073,0
0.0968731121116,0.421084047,0.723258887,0.338486931,0.215301907,0.0198678288898,0.768,0
0.21879552,0.487747176,0.48997376,0.516359541,0.057483275,0.35955683,0,0
0.129938428,0.494144578,0.504709889,0.526587661,0.0921107045405,0.644214435,0,0
0.383335893,0.429047536,0.6550896,0.4033927,0.0274776027827,0.369630143,0,1
0.262055456,0.422891459,0.703213852,0.415557944,0.046036535,0.437707365,0,1
0.253527246,0.427005729,0.703521863,0.441337708,0.0503965264609,0.437287035,0.549,0
0.142613182,0.425139242,0.693575865,0.394193155,0.147182442,0.438646198,0.7018,1
0.0670714173437,0.400431606,0.800752605,0.258989135,0.174482901,0.106465014,0,1
